uniprot_id,value
P04637,0.07731639750842764
P38398,0.012009322367710908
Q09472,0.007073244909279352
P19174,0.00674273853689584
P37023,0.0066857237221406626
Q8WUM4,0.006414639522495509
Q7Z434,0.006268899631794288
Q12888,0.006222024484063601
P04626,0.005316928431813223
Q9NRR4,0.004719780083757589
Q14192,0.004399927980501201
O60566,0.0042552760500172695
Q16236,0.004102774249818899
P42336,0.004102674972929166
P42858,0.004052169155969647
Q96GD4,0.0037632858205478344
P12643,0.0033263025312026944
Q12959,0.0032455824624118227
Q15596,0.0030967576056831862
Q14790,0.0030747763232371137
Q9BYX4,0.00299807181854488
P04629,0.002920177724833196
Q86WV6,0.002858289900805169
P30622,0.0028465754526586537
P15924,0.0028224128665421066
Q9C000,0.002671893346863411
Q9P2D1,0.0025861579373679935
P27448,0.0025342761231220276
P55211,0.002532726921472328
Q8N6T7,0.0024265763699183964
Q12929,0.0023997547333043925
Q03001,0.0023854383719782444
Q13936,0.0023313871070928084
P02751,0.0022410156007032977
Q9UHR4,0.0021790776275789096
P51587,0.0021336440645286906
Q9Y618,0.0021335907753982112
Q53EL6,0.0020682039232504715
Q5S007,0.002060245903905508
Q9UMN6,0.0020339874305734707
Q03405,0.002022772108305422
P10912,0.002005073921791619
P38936,0.0019416738898544888
Q99683,0.0018274957377308282
P13612,0.0018191038146650356
P20827,0.001771611531428929
P05161,0.001672324894885569
P00734,0.0016718947223714963
P04141,0.0016716447754852092
P43146,0.0016713948285989226
Q14114,0.0016660595406546303
Q13351,0.0015772773107247224
P31350,0.0014616259178402238
P16070,0.00141426187010408
O43189,0.0014007144831764261
P07550,0.0013655718359336145
P15884,0.001359462441718308
P01138,0.0013561998302349793
P35579,0.0013378823666637505
P13497,0.0013377990510349883
O75147,0.001337632419777464
Q9H3S7,0.0012233126201137993
P02787,0.0012227120805136519
P06396,0.001219645501942198
O00255,0.0011930474178020011
Q14839,0.0011738626013837918
Q9HCN6,0.0011657470651250067
Q8NEZ4,0.0011615352405555598
P46013,0.0010615410278610054
Q13576,0.00106085878988942
Q7Z2W4,0.001039333687035852
P48551,0.0010036617218840995
Q9NTG7,0.0010035367484409563
P47712,0.0010035367484409563
P19878,0.0010035367484409563
P46934,0.0008908462144031154
P06756,0.0008862135734489786
Q92843,0.0008846227667163695
P04156,0.0008571607528247244
Q14160,0.0008364190902901372
Q13330,0.0008164381551266189
P52294,0.0008080936082408953
P24588,0.0008041583392592908
Q6XZF7,0.000782132475947327
P02649,0.0007557730664877081
Q8WXH0,0.0007353261387951135
Q14980,0.0007002880047246155
P27695,0.0006870072794284858
Q14449,0.0006865558238793562
P54253,0.0006691078145893997
Q04756,0.0006691078145893997
Q8WZ42,0.0006691078145893997
P55884,0.0006690244989606375
Q8N5H7,0.0006345975355808744
O43516,0.0006165838931660723
O14522,0.0005974180345685942
Q8IYW5,0.0005872024365690939
P51946,0.000548832484851381
Q14191,0.0005364250840847863
Q13043,0.0005300713467867453
Q14185,0.00048162234057717526
P15153,0.0004778469776708009
Q9H211,0.0004327437978387787
P18827,0.0004171810562587681
Q92547,0.00040256496030529525
Q12923,0.0003668088542768536
P56945,0.0003600504478031439
Q14566,0.0003527193549784708
P08700,0.000334595565109081
Q03518,0.000334595565109081
P58335,0.000334595565109081
Q9UIF7,0.000334595565109081
P13647,0.000334595565109081
O00411,0.000334595565109081
Q12802,0.000334595565109081
Q96QB1,0.000334595565109081
Q5T4F4,0.000334595565109081
Q14653,0.000334595565109081
P49917,0.000334595565109081
P29590,0.000334595565109081
Q96CB9,0.000334595565109081
P20823,0.000334595565109081
P00813,0.000334595565109081
Q9Y6D9,0.00033459556510908087
P08833,0.0003344289338515565
P53004,0.0003143440970298155
P29597,0.00029625718807326564
Q9NQS7,0.00025835347712710867
Q15628,0.0002521063037508256
Q9UK53,0.00023099250884012782
P09936,0.00022112853224712142
P02671,0.00021127434202582925
Q96RU3,0.0002045397363824447
P06127,0.0001944218353970698
P20333,0.00019429026148294064
P07814,0.00017702693213565097
O60462,0.0001719933132774158
P35916,0.00016343723771982736
O60260,0.00014188822594842632
Q12772,0.00013589465410466291
P55210,0.00013089944299205325
O14757,0.0001289168708984331
Q9Y678,0.0001253862214514758
Q8NCD3,0.00012107176245572137
Q13137,0.0001033207991798389
P50281,8.715209083429088e-05
P11473,8.240122208025898e-05
P09467,7.121210608836443e-05
Q9UQ84,7.069004171922943e-05
O15085,6.958860928872852e-05
Q96HC4,6.695497024245319e-05
Q01831,6.34705651571854e-05
Q13618,5.573396029800424e-05
Q5H9F3,5.4705267538865904e-05
Q14739,4.912602244649247e-05
P23497,4.912602244649247e-05
Q14126,4.1751544463468174e-05
P56199,1.8921417537251763e-05
Q9HC62,1.3406225166468294e-05
Q8IW19,1.2305534262543765e-05
Q9BZD4,8.205884027941892e-06
O14777,8.205884027941892e-06
Q02535,6.989141068411694e-06
P22455,5.9407588063581e-06
Q15652,2.306824163062065e-06
Q9Y6N7,1.9995750902933126e-06
P78364,1.968082924081219e-06
Q08334,1.7079703896255377e-06
P09603,1.4996813177199845e-06
Q13651,1.291392245814431e-06
Q8N423,6.248672157166602e-07
Q8IWE5,4.998937725733282e-07
Q9Y6N9,4.998937725733282e-07
P35225,4.1657814381110676e-07
P24394,2.499468862866641e-07
P28068,2.499468862866641e-07
Q4KMG0,2.499468862866641e-07
P08603,1.666312575244427e-07
Q02763,8.331562876222136e-08
P01583,8.331562876222136e-08
P02461,8.331562876222136e-08
P48357,8.331562876222136e-08
Q96AY2,8.331562876222136e-08
Q6I9S1,4.165781438111068e-08
Q8IWV8,0.0
P48552,0.0
Q01344,0.0
Q13029,0.0
P50851,0.0
P36888,0.0
P11226,0.0
O95644,0.0
Q9UJX3,0.0
Q9H171,0.0
Q14005,0.0
P01133,0.0
Q96CA5,0.0
Q9H7B4,0.0
Q13740,0.0
P05155,0.0
Q9NRG4,0.0
